pT[GeV/c],minbias,minbiaserr,0-5,0-5err,5-10,5-10err,10-15,     10-15err,15-20,15-20err,20-30,20-30err,30-40,30-40err,40-50,        40-50err
0.65,9.51e-01,2.7e-02,2.90e+00,9.3e-02,2.44e+00,8.0e-02,2.09e+00,6.9e-02,1.76e+00,6.0e-02,1.37e+00,4.4e-02,9.68e-01,3.2e-02,6.31e-01,2.2e-02
0.75,8.47e-01,2.4e-02,2.65e+00,8.5e-02,2.24e+00,7.3e-02,1.87e+00,6.2e-02,1.59e+00,5.4e-02,1.24e+00,4.0e-02,8.52e-01,2.9e-02,5.39e-01,1.9e-02
0.85,7.08e-01,2.0e-02,2.28e+00,7.3e-02,1.91e+00,6.3e-02,1.60e+00,5.3e-02,1.34e+00,4.6e-02,1.02e+00,3.3e-02,7.06e-01,2.4e-02,4.33e-01,1.6e-02
0.95,6.06e-01,1.8e-02,2.00e+00,6.6e-02,1.66e+00,5.5e-02,1.41e+00,4.8e-02,1.16e+00,4.1e-02,8.90e-01,2.9e-02,5.79e-01,2.0e-02,3.60e-01,1.4e-02
1.05,5.05e-01,1.5e-02,1.68e+00,5.7e-02,1.43e+00,4.9e-02,1.16e+00,4.1e-02,9.75e-01,3.5e-02,7.41e-01,2.5e-02,4.83e-01,1.7e-02,2.96e-01,1.2e-02
1.15,4.23e-01,1.3e-02,1.46e+00,5.1e-02,1.22e+00,4.3e-02,9.85e-01,3.6e-02,8.38e-01,3.1e-02,6.27e-01,2.2e-02,3.93e-01,1.5e-02,2.33e-01,9.7e-03
1.25,3.30e-01,1.0e-02,1.16e+00,4.2e-02,9.51e-01,3.5e-02,7.92e-01,3.0e-02,6.47e-01,2.5e-02,4.83e-01,1.8e-02,3.09e-01,1.2e-02,1.77e-01,7.9e-03
1.35,2.71e-01,8.8e-03,9.72e-01,3.7e-02,7.96e-01,3.1e-02,6.55e-01,2.6e-02,5.35e-01,2.2e-02,3.93e-01,1.5e-02,2.46e-01,1.0e-02,1.40e-01,6.7e-03
1.45,2.04e-01,6.7e-03,7.42e-01,2.9e-02,6.09e-01,2.5e-02,5.07e-01,2.1e-02,4.04e-01,1.8e-02,2.90e-01,1.2e-02,1.89e-01,8.3e-03,1.05e-01,5.4e-03
1.55,1.68e-01,5.8e-03,6.05e-01,2.5e-02,5.08e-01,2.2e-02,4.21e-01,1.9e-02,3.33e-01,1.6e-02,2.42e-01,1.0e-02,1.49e-01,7.1e-03,8.39e-02,4.7e-03
1.65,1.25e-01,4.4e-03,4.55e-01,2.0e-02,3.77e-01,1.7e-02,3.02e-01,1.4e-02,2.60e-01,1.3e-02,1.80e-01,8.1e-03,1.10e-01,5.6e-03,6.02e-02,3.7e-03
1.75,9.38e-02,3.4e-03,3.51e-01,1.6e-02,2.76e-01,1.4e-02,2.29e-01,1.2e-02,1.86e-01,1.0e-02,1.36e-01,6.6e-03,8.52e-02,4.7e-03,4.64e-02,3.1e-03
1.85,7.50e-02,2.8e-03,2.85e-01,1.4e-02,2.28e-01,1.2e-02,1.79e-01,1.0e-02,1.51e-01,8.9e-03,1.08e-01,5.7e-03,6.68e-02,4.0e-03,3.64e-02,2.7e-03
1.95,5.37e-02,2.1e-03,1.99e-01,1.1e-02,1.61e-01,9.3e-03,1.36e-01,8.2e-03,1.06e-01,6.9e-03,7.98e-02,4.5e-03,4.72e-02,3.2e-03,2.53e-02,2.1e-03
2.10,3.71e-02,9.4e-04,1.35e-01,5.0e-03,1.12e-01,4.4e-03,9.18e-02,3.8e-03,7.41e-02,3.3e-03,5.63e-02,2.1e-03,3.32e-02,1.5e-03,1.82e-02,1.0e-03
2.30,2.15e-02,5.9e-04,7.69e-02,3.5e-03,6.73e-02,3.2e-03,5.39e-02,2.7e-03,4.46e-02,2.4e-03,3.19e-02,1.5e-03,1.96e-02,1.1e-03,9.61e-03,7.2e-04
2.50,1.21e-02,4.2e-04,4.39e-02,2.5e-03,3.67e-02,2.2e-03,3.05e-02,2.0e-03,2.52e-02,1.7e-03,1.79e-02,1.1e-03,1.07e-02,7.8e-04,5.83e-03,5.5e-04
2.70,7.26e-03,2.8e-04,2.44e-02,1.8e-03,2.27e-02,1.7e-03,1.78e-02,1.5e-03,1.55e-02,1.3e-03,1.08e-02,8.0e-04,6.78e-03,6.1e-04,3.73e-03,4.4e-04
2.90,4.17e-03,1.9e-04,1.54e-02,1.4e-03,1.16e-02,1.2e-03,1.04e-02,1.1e-03,8.35e-03,9.5e-04,6.05e-03,5.8e-04,4.10e-03,4.7e-04,2.20e-03,3.3e-04
3.25,1.70e-03,8.3e-05,5.98e-03,5.5e-04,5.17e-03,5.0e-04,4.04e-03,4.3e-04,3.51e-03,3.9e-04,2.54e-03,2.4e-04,1.64e-03,1.9e-04,8.36e-04,1.3e-04
3.75,5.79e-04,4.4e-05,2.05e-03,3.1e-04,1.68e-03,2.8e-04,1.45e-03,2.5e-04,1.18e-03,2.2e-04,8.20e-04,1.3e-04,5.66e-04,1.1e-04,3.25e-04,7.8e-05
4.25,2.21e-04,2.7e-05,8.96e-04,2.2e-04,7.04e-04,1.9e-04,4.70e-04,1.5e-04,4.64e-04,1.4e-04,3.07e-04,8.3e-05,1.93e-04,6.4e-05,1.07e-04,4.7e-05
